"month","job_title_short","total_postings"
"2022-12-01","Data Analyst","485"
"2022-12-01","Data Scientist","419"
"2022-12-01","Data Engineer","408"
"2022-12-01","Senior Data Engineer","123"
"2022-12-01","Senior Data Scientist","116"
"2022-12-01","Software Engineer","113"
"2022-12-01","Business Analyst","105"
"2022-12-01","Senior Data Analyst","71"
"2022-12-01","Machine Learning Engineer","28"
"2022-12-01","Cloud Engineer","27"
"2023-01-01","Data Analyst","23697"
"2023-01-01","Data Engineer","21560"
"2023-01-01","Data Scientist","20875"
"2023-01-01","Software Engineer","5133"
"2023-01-01","Senior Data Engineer","5073"
"2023-01-01","Business Analyst","4881"
"2023-01-01","Senior Data Scientist","4667"
"2023-01-01","Senior Data Analyst","3675"
"2023-01-01","Machine Learning Engineer","1405"
"2023-01-01","Cloud Engineer","1300"
"2023-02-01","Data Analyst","16479"
"2023-02-01","Data Engineer","15926"
"2023-02-01","Data Scientist","13952"
"2023-02-01","Senior Data Engineer","3765"
"2023-02-01","Business Analyst","3482"
"2023-02-01","Software Engineer","3353"
"2023-02-01","Senior Data Scientist","2996"
"2023-02-01","Senior Data Analyst","2729"
"2023-02-01","Machine Learning Engineer","1046"
"2023-02-01","Cloud Engineer","832"
"2023-03-01","Data Analyst","16342"
"2023-03-01","Data Engineer","16032"
"2023-03-01","Data Scientist","13603"
"2023-03-01","Software Engineer","3709"
"2023-03-01","Senior Data Engineer","3688"
"2023-03-01","Business Analyst","3386"
"2023-03-01","Senior Data Scientist","2977"
"2023-03-01","Senior Data Analyst","2460"
"2023-03-01","Machine Learning Engineer","1065"
"2023-03-01","Cloud Engineer","896"
"2023-04-01","Data Analyst","15499"
"2023-04-01","Data Engineer","14933"
"2023-04-01","Data Scientist","13489"
"2023-04-01","Business Analyst","4245"
"2023-04-01","Software Engineer","4017"
"2023-04-01","Senior Data Engineer","3580"
"2023-04-01","Senior Data Scientist","2745"
"2023-04-01","Senior Data Analyst","2356"
"2023-04-01","Cloud Engineer","1051"
"2023-04-01","Machine Learning Engineer","1000"
"2023-05-01","Data Engineer","13670"
"2023-05-01","Data Analyst","13457"
"2023-05-01","Data Scientist","11752"
"2023-05-01","Senior Data Engineer","3335"
"2023-05-01","Senior Data Scientist","2409"
"2023-05-01","Business Analyst","2403"
"2023-05-01","Software Engineer","1974"
"2023-05-01","Senior Data Analyst","1933"
"2023-05-01","Machine Learning Engineer","806"
"2023-05-01","Cloud Engineer","496"
"2023-06-01","Data Analyst","15932"
"2023-06-01","Data Engineer","15522"
"2023-06-01","Data Scientist","13606"
"2023-06-01","Senior Data Engineer","3801"
"2023-06-01","Business Analyst","3406"
"2023-06-01","Senior Data Scientist","2964"
"2023-06-01","Senior Data Analyst","2316"
"2023-06-01","Software Engineer","2219"
"2023-06-01","Machine Learning Engineer","1049"
"2023-06-01","Cloud Engineer","685"
"2023-07-01","Data Analyst","16150"
"2023-07-01","Data Engineer","14526"
"2023-07-01","Data Scientist","14126"
"2023-07-01","Business Analyst","3854"
"2023-07-01","Senior Data Engineer","3723"
"2023-07-01","Software Engineer","3675"
"2023-07-01","Senior Data Scientist","3164"
"2023-07-01","Senior Data Analyst","2378"
"2023-07-01","Machine Learning Engineer","1181"
"2023-07-01","Cloud Engineer","1078"
"2023-08-01","Data Analyst","18602"
"2023-08-01","Data Scientist","16977"
"2023-08-01","Data Engineer","15630"
"2023-08-01","Business Analyst","5200"
"2023-08-01","Software Engineer","4957"
"2023-08-01","Senior Data Engineer","4042"
"2023-08-01","Senior Data Scientist","3982"
"2023-08-01","Senior Data Analyst","2958"
"2023-08-01","Cloud Engineer","1371"
"2023-08-01","Machine Learning Engineer","1348"
"2023-09-01","Data Analyst","14997"
"2023-09-01","Data Engineer","14880"
"2023-09-01","Data Scientist","13630"
"2023-09-01","Business Analyst","4421"
"2023-09-01","Senior Data Engineer","3562"
"2023-09-01","Software Engineer","3510"
"2023-09-01","Senior Data Scientist","2939"
"2023-09-01","Senior Data Analyst","2207"
"2023-09-01","Machine Learning Engineer","1253"
"2023-09-01","Cloud Engineer","1034"
"2023-10-01","Data Analyst","16260"
"2023-10-01","Data Engineer","15453"
"2023-10-01","Data Scientist","14202"
"2023-10-01","Business Analyst","5004"
"2023-10-01","Software Engineer","4303"
"2023-10-01","Senior Data Engineer","3561"
"2023-10-01","Senior Data Scientist","2933"
"2023-10-01","Senior Data Analyst","2322"
"2023-10-01","Machine Learning Engineer","1378"
"2023-10-01","Cloud Engineer","1185"
"2023-11-01","Data Analyst","15133"
"2023-11-01","Data Engineer","14994"
"2023-11-01","Data Scientist","14158"
"2023-11-01","Business Analyst","4752"
"2023-11-01","Software Engineer","4291"
"2023-11-01","Senior Data Engineer","3591"
"2023-11-01","Senior Data Scientist","2795"
"2023-11-01","Senior Data Analyst","2111"
"2023-11-01","Machine Learning Engineer","1315"
"2023-11-01","Cloud Engineer","1264"
"2023-12-01","Data Analyst","13560"
"2023-12-01","Data Engineer","13145"
"2023-12-01","Data Scientist","11937"
"2023-12-01","Business Analyst","4021"
"2023-12-01","Software Engineer","3765"
"2023-12-01","Senior Data Engineer","2848"
"2023-12-01","Senior Data Scientist","2389"
"2023-12-01","Senior Data Analyst","1773"
"2023-12-01","Machine Learning Engineer","1232"
"2023-12-01","Cloud Engineer","1127"
